epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3711,2.18859,3.27141,1.55231,0.24751,0.10335,0.06873,0.02171,3.76149,6.54523,1.4133,0.00332569,0.00332569,0.00332569
2,127.152,2.24436,2.62464,1.54359,0.15165,0.05168,0.02348,0.01025,4.16462,7.32266,1.65442,0.0065931,0.0065931,0.0065931
3,185.658,2.40236,2.55412,1.66092,0.08951,0.0433,0.01743,0.00542,4.14584,9.62755,1.65056,0.00979451,0.00979451,0.00979451
4,243.334,2.42416,2.50541,1.71138,0.19231,0.09497,0.05479,0.02063,3.3735,3.99825,1.26856,0.009703,0.009703,0.009703
5,300.995,2.36738,2.37741,1.67865,0.1368,0.07682,0.03021,0.00821,3.54188,3.20895,1.32468,0.009604,0.009604,0.009604
6,359.156,2.30881,2.2702,1.6421,0.18153,0.10335,0.05827,0.01692,3.44256,3.04483,1.2972,0.009505,0.009505,0.009505
7,416.83,2.25295,2.21305,1.61222,0.34226,0.16933,0.13935,0.04807,3.03338,2.29402,1.17784,0.009406,0.009406,0.009406
8,474.617,2.24687,2.17942,1.60032,0.29282,0.17039,0.13509,0.0499,2.9015,2.29804,1.16074,0.009307,0.009307,0.009307
9,532.676,2.17646,2.08563,1.56718,0.31127,0.15922,0.13693,0.04648,3.00784,2.43008,1.15197,0.009208,0.009208,0.009208
10,590.661,2.16205,2.01873,1.5354,0.30802,0.20251,0.15667,0.06179,2.76099,2.19861,1.12923,0.009109,0.009109,0.009109
11,649.75,2.14706,2.00424,1.53796,0.27592,0.16341,0.11795,0.04026,2.86003,2.26504,1.12234,0.00901,0.00901,0.00901
12,709.272,2.14746,2.00548,1.53499,0.36087,0.18855,0.16996,0.06218,2.95712,2.29428,1.17971,0.008911,0.008911,0.008911
13,768.026,2.10653,1.95354,1.50457,0.37796,0.14246,0.14221,0.05276,2.9932,2.36115,1.14079,0.008812,0.008812,0.008812
14,826.903,2.10384,1.91416,1.50319,0.36876,0.1648,0.17494,0.06753,2.90865,2.20391,1.12343,0.008713,0.008713,0.008713
15,885.423,2.08219,1.88633,1.49441,0.31086,0.14804,0.12045,0.04664,2.8446,2.53269,1.10801,0.008614,0.008614,0.008614
16,943.01,2.05784,1.87401,1.48356,0.36232,0.21743,0.18908,0.06453,2.8302,2.26913,1.11277,0.008515,0.008515,0.008515
17,1000.52,2.07236,1.854,1.49289,0.36079,0.17039,0.14275,0.04957,2.96788,2.13371,1.17806,0.008416,0.008416,0.008416
18,1058.06,2.01946,1.82153,1.47335,0.34565,0.23883,0.19981,0.07075,2.73734,2.04436,1.10167,0.008317,0.008317,0.008317
19,1115.43,2.03089,1.83288,1.47414,0.28866,0.21648,0.16505,0.0575,2.80252,2.18018,1.11128,0.008218,0.008218,0.008218
20,1172.69,2.03636,1.82871,1.45935,0.40906,0.23743,0.2155,0.0802,2.72423,1.97227,1.09909,0.008119,0.008119,0.008119
21,1230.18,2.02517,1.78395,1.45626,0.2519,0.12849,0.09378,0.03203,2.85828,2.53571,1.08168,0.00802,0.00802,0.00802
22,1287.62,2.00767,1.77923,1.44773,0.47642,0.21927,0.23019,0.0868,2.72524,1.93482,1.08674,0.007921,0.007921,0.007921
23,1344.81,2.01284,1.76575,1.45801,0.38065,0.24022,0.20503,0.06836,2.79756,2.02977,1.10072,0.007822,0.007822,0.007822
24,1402.08,1.99717,1.75688,1.4493,0.31181,0.18715,0.15624,0.05989,2.73487,2.30726,1.11312,0.007723,0.007723,0.007723
25,1459.17,1.98015,1.72408,1.43314,0.35178,0.23603,0.19444,0.06942,2.73098,2.00855,1.09546,0.007624,0.007624,0.007624
26,1516.46,1.97932,1.74,1.42226,0.36178,0.21456,0.18213,0.06778,2.6396,2.04266,1.06611,0.007525,0.007525,0.007525
27,1573.67,1.98481,1.73516,1.43149,0.41332,0.25838,0.23836,0.08374,2.60511,1.9101,1.07055,0.007426,0.007426,0.007426
28,1630.73,1.97339,1.70993,1.41717,0.39165,0.2095,0.16537,0.0606,2.87033,2.03121,1.13373,0.007327,0.007327,0.007327
29,1688.11,1.96134,1.72088,1.42256,0.40051,0.2514,0.24013,0.08746,2.64221,1.95606,1.07518,0.007228,0.007228,0.007228
30,1746.18,1.96006,1.67062,1.4088,0.40332,0.24356,0.22086,0.08058,2.65931,2.0547,1.08678,0.007129,0.007129,0.007129
31,1803.96,1.96027,1.68485,1.4087,0.39355,0.24162,0.2213,0.08035,2.62919,1.94689,1.06406,0.00703,0.00703,0.00703
32,1861.41,1.92575,1.65002,1.39709,0.42725,0.2514,0.24237,0.08687,2.60998,1.84237,1.06662,0.006931,0.006931,0.006931
33,1919.23,1.94325,1.68237,1.41488,0.3802,0.23883,0.21901,0.08567,2.56788,1.8914,1.06937,0.006832,0.006832,0.006832
34,1977.08,1.92857,1.64684,1.39528,0.51504,0.26676,0.27761,0.11282,2.54753,1.74738,1.06193,0.006733,0.006733,0.006733
35,2034.85,1.94525,1.64785,1.40409,0.50265,0.27101,0.26449,0.09547,2.49399,1.8248,1.0427,0.006634,0.006634,0.006634
36,2093.1,1.91846,1.63047,1.39749,0.44567,0.26955,0.2642,0.1032,2.5101,1.74507,1.05324,0.006535,0.006535,0.006535
37,2151.16,1.92198,1.61127,1.38282,0.47558,0.22905,0.23944,0.09004,2.62103,1.90091,1.05525,0.006436,0.006436,0.006436
38,2209.36,1.92217,1.63186,1.39334,0.46428,0.26257,0.25462,0.09975,2.48831,1.86033,1.04693,0.006337,0.006337,0.006337
39,2267.6,1.91168,1.60509,1.38747,0.42347,0.26955,0.25382,0.09709,2.53691,1.86943,1.05374,0.006238,0.006238,0.006238
40,2325.55,1.90877,1.6041,1.38687,0.40893,0.26676,0.2522,0.09231,2.50907,1.84392,1.04523,0.006139,0.006139,0.006139
41,2383.79,1.88841,1.60023,1.37032,0.46713,0.25,0.24829,0.09463,2.5134,1.83611,1.0415,0.00604,0.00604,0.00604
42,2442.21,1.90333,1.59046,1.37708,0.42922,0.27727,0.24918,0.09153,2.58151,1.8102,1.0691,0.005941,0.005941,0.005941
